Godot Engine v3.5.3.stable.official.6c814135b - https://godotengine.org
OpenGL ES 2.0 Renderer: Intel(R) HD Graphics 520
 
[System] Connect to HUD App from SWP App
[System] Connected to Builder!
{data:3330333164, message_type:ping}
{data:Null, message_type:apps_connected}
[System] App connected.
input_type: screen_touch, state: True
input_type: screen_touch_position, state: {x:205.499985, y:283.499969}
input_type: screen_touch_position, state: {x:206.999985, y:283.499969}
input_type: screen_touch_position, state: {x:208.499985, y:281.999969}
input_type: screen_touch_position, state: {x:212.999985, y:281.999969}
input_type: screen_touch_position, state: {x:214.499985, y:281.999969}
input_type: screen_touch_position, state: {x:220.499985, y:280.499969}
input_type: screen_touch_position, state: {x:224.999985, y:280.499969}
input_type: screen_touch_position, state: {x:227.999985, y:280.499969}
input_type: screen_touch_position, state: {x:229.499985, y:280.499969}
input_type: screen_touch_position, state: {x:232.499985, y:280.499969}
input_type: screen_touch_position, state: {x:236.999985, y:280.499969}
input_type: screen_touch_position, state: {x:238.499985, y:280.499969}
input_type: screen_touch_position, state: {x:244.499985, y:280.499969}
input_type: screen_touch_position, state: {x:247.499985, y:281.999969}
input_type: screen_touch_position, state: {x:248.999985, y:281.999969}
input_type: screen_touch_position, state: {x:251.999985, y:281.999969}
input_type: screen_touch_position, state: {x:253.499985, y:281.999969}
input_type: screen_touch_position, state: {x:254.999985, y:281.999969}
input_type: screen_touch_position, state: {x:256.499969, y:283.499969}
input_type: screen_touch_position, state: {x:256.499969, y:284.999969}
input_type: screen_touch_position, state: {x:257.999969, y:287.999969}
input_type: screen_touch_position, state: {x:259.499969, y:290.999969}
input_type: screen_touch_position, state: {x:260.999969, y:295.499969}
input_type: screen_touch_position, state: {x:263.999969, y:302.999969}
input_type: screen_touch_position, state: {x:263.999969, y:308.999969}
input_type: screen_touch_position, state: {x:265.499969, y:316.499969}
input_type: screen_touch_position, state: {x:268.499969, y:328.499969}
input_type: screen_touch_position, state: {x:271.499969, y:331.499969}
input_type: screen_touch_position, state: {x:271.499969, y:338.999969}
input_type: screen_touch_position, state: {x:271.499969, y:343.499969}
input_type: screen_touch_position, state: {x:272.999969, y:347.999969}
input_type: screen_touch_position, state: {x:274.499969, y:353.999969}
input_type: screen_touch_position, state: {x:275.999969, y:356.999969}
input_type: screen_touch_position, state: {x:278.999969, y:364.499969}
input_type: screen_touch_position, state: {x:280.499969, y:365.999969}
input_type: screen_touch_position, state: {x:280.499969, y:367.499969}
input_type: screen_touch_position, state: {x:281.999969, y:368.999969}
input_type: screen_touch_position, state: {x:283.499969, y:368.999969}
input_type: screen_touch_position, state: {x:283.499969, y:370.499969}
input_type: screen_touch_position, state: {x:283.499969, y:371.999969}
input_type: screen_touch_position, state: {x:283.499969, y:373.499969}
input_type: screen_touch_position, state: {x:286.499969, y:382.499969}
input_type: screen_touch_position, state: {x:287.999969, y:386.999969}
input_type: screen_touch_position, state: {x:289.499969, y:394.499969}
input_type: screen_touch_position, state: {x:293.999969, y:409.499969}
input_type: screen_touch_position, state: {x:295.499969, y:412.499969}
input_type: screen_touch_position, state: {x:301.499969, y:433.499969}
input_type: screen_swipe, state: down
input_type: screen_touch_position, state: {x:304.499969, y:440.999969}
input_type: screen_touch_position, state: {x:307.499969, y:451.499969}
input_type: screen_touch_position, state: {x:308.999969, y:463.499969}
input_type: screen_touch_position, state: {x:308.999969, y:469.499969}
input_type: screen_touch_position, state: {x:308.999969, y:473.999969}
input_type: screen_touch_position, state: {x:305.999969, y:485.999969}
input_type: screen_touch_position, state: {x:302.999969, y:488.999969}
input_type: screen_touch_position, state: {x:298.499969, y:497.999969}
input_type: screen_touch_position, state: {x:293.999969, y:503.999969}
input_type: screen_touch_position, state: {x:292.499969, y:505.499969}
input_type: screen_touch_position, state: {x:284.999969, y:512.999939}
input_type: screen_touch_position, state: {x:277.499969, y:518.999939}
input_type: screen_touch_position, state: {x:268.499969, y:526.499939}
input_type: screen_touch_position, state: {x:260.999969, y:533.999939}
input_type: screen_touch_position, state: {x:253.499985, y:541.499939}
input_type: screen_touch_position, state: {x:245.999985, y:548.999939}
input_type: screen_touch_position, state: {x:238.499985, y:556.499939}
input_type: screen_touch_position, state: {x:221.999985, y:569.999939}
input_type: screen_touch_position, state: {x:215.999985, y:574.499939}
input_type: screen_touch_position, state: {x:202.499985, y:583.499939}
input_type: screen_touch_position, state: {x:193.499985, y:587.999939}
input_type: screen_touch_position, state: {x:178.499985, y:595.499939}
input_type: screen_touch_position, state: {x:176.999985, y:595.499939}
input_type: screen_touch_position, state: {x:175.499985, y:595.499939}
input_type: screen_touch_position, state: {x:172.499985, y:595.499939}
input_type: screen_touch_position, state: {x:163.499985, y:593.999939}
input_type: screen_touch_position, state: {x:155.999985, y:593.999939}
input_type: screen_touch_position, state: {x:149.999985, y:593.999939}
input_type: screen_touch_position, state: {x:142.499985, y:592.499939}
input_type: screen_touch_position, state: {x:136.499985, y:592.499939}
input_type: screen_touch_position, state: {x:122.999992, y:590.999939}
input_type: screen_touch_position, state: {x:118.499992, y:589.499939}
input_type: screen_touch_position, state: {x:115.499992, y:587.999939}
input_type: screen_touch_position, state: {x:113.999992, y:587.999939}
input_type: screen_touch_position, state: {x:110.999992, y:586.499939}
input_type: screen_touch_position, state: {x:106.499992, y:584.999939}
input_type: screen_touch_position, state: {x:101.999992, y:581.999939}
input_type: screen_touch_position, state: {x:100.499992, y:581.999939}
input_type: screen_touch_position, state: {x:97.499992, y:580.499939}
input_type: screen_touch_position, state: {x:92.999992, y:578.999939}
input_type: screen_touch_position, state: {x:89.999992, y:578.999939}
input_type: screen_touch_position, state: {x:88.499992, y:577.499939}
input_type: screen_touch_position, state: {x:86.999992, y:575.999939}
input_type: screen_touch_position, state: {x:85.499992, y:575.999939}
input_type: screen_touch_position, state: {x:85.499992, y:574.499939}
input_type: screen_touch_position, state: {x:83.999992, y:571.499939}
input_type: screen_touch_position, state: {x:79.499992, y:559.499939}
input_type: screen_touch_position, state: {x:77.999992, y:553.499939}
input_type: screen_touch_position, state: {x:76.499992, y:547.499939}
input_type: screen_touch_position, state: {x:73.499992, y:529.499939}
input_type: screen_touch_position, state: {x:73.499992, y:526.499939}
input_type: screen_touch_position, state: {x:71.999992, y:518.999939}
input_type: screen_touch_position, state: {x:71.999992, y:511.499969}
input_type: screen_touch_position, state: {x:70.499992, y:508.499969}
input_type: screen_touch_position, state: {x:70.499992, y:506.999969}
input_type: screen_touch_position, state: {x:70.499992, y:505.499969}
input_type: screen_touch_position, state: {x:70.499992, y:503.999969}
input_type: screen_touch_position, state: {x:70.499992, y:502.499969}
input_type: screen_touch_position, state: {x:70.499992, y:497.999969}
input_type: screen_touch_position, state: {x:70.499992, y:496.499969}
input_type: screen_touch_position, state: {x:70.499992, y:494.999969}
input_type: screen_touch_position, state: {x:70.499992, y:493.499969}
input_type: screen_touch_position, state: {x:71.999992, y:493.499969}
input_type: screen_touch_position, state: {x:71.999992, y:491.999969}
input_type: screen_touch_position, state: {x:71.999992, y:490.499969}
input_type: screen_touch_position, state: {x:71.999992, y:487.499969}
input_type: screen_touch_position, state: {x:74.999992, y:482.999969}
input_type: screen_touch_position, state: {x:76.499992, y:473.999969}
input_type: screen_touch_position, state: {x:79.499992, y:464.999969}
input_type: screen_touch_position, state: {x:82.499992, y:458.999969}
input_type: screen_touch_position, state: {x:82.499992, y:452.999969}
input_type: screen_touch_position, state: {x:83.999992, y:448.499969}
input_type: screen_touch_position, state: {x:86.999992, y:440.999969}
input_type: screen_touch_position, state: {x:88.499992, y:431.999969}
input_type: screen_touch_position, state: {x:89.999992, y:428.999969}
